sym,net,reason,month,cap_after,pos_notional
RENDERUSDT,-3.2085955428891744,TIME_EXIT,2025-07,1005.1848257719628,354.6910621925338
ATOMUSDT,1.597875133576188,TIME_EXIT,2025-07,1006.6419750299309,351.81468902018696
APTUSDT,1.7230097341485808,TIME_EXIT,2025-08,630.3181632398442,352.3246912604758
NEARUSDT,1.0327508742430407,TIME_EXIT,2025-08,860.3126379766201,228.9617238625328
ATOMUSDT,0.4828509378360539,TIME_EXIT,2025-08,1009.5885547837617,148.79306586930556
XRPUSDT,0.29789892575714977,TIME_EXIT,2025-08,1009.7451113118491,353.35599417431655
ATOMUSDT,-1.1266312118094777,TIME_EXIT,2025-08,1008.4771157844559,353.41078895914717
APTUSDT,0.6152226669438214,TIME_EXIT,2025-08,1008.95115165519,352.96699052455955
XRPUSDT,2.5156135135167568,TIME_EXIT,2025-08,1011.325512007475,353.13290307931646
APTUSDT,1.33181405247429,TIME_EXIT,2025-08,632.8515909281236,353.9639292026162
NEARUSDT,1.7659756540717422,TIME_EXIT,2025-08,864.6445656138076,230.0269990316122
ATOMUSDT,1.486134538339905,TIME_EXIT,2025-08,1015.616045742831,149.48534559068352
XRPUSDT,4.587098346409018,TIME_EXIT,2025-08,1020.060957842836,355.46561600999087
XRPUSDT,1.337085103145291,TIME_EXIT,2025-08,638.3116900626884,357.0213352449926
NEARUSDT,-0.3509551872057348,TIME_EXIT,2025-08,869.9746197977936,232.01388492231092
RENDERUSDT,-0.15799846903781173,TIME_EXIT,2025-08,1020.5931645843688,150.77654325561298
APTUSDT,-0.20835026917000488,TIME_EXIT,2025-08,1020.241931272157,357.2076076045291
RENDERUSDT,-2.877482589121319,STOP_LOSS,2025-08,660.0441168483986,232.05504750978335
XRPUSDT,-4.427849981721184,STOP_LOSS,2025-08,1012.7009428119324,357.0846759452549
ATOMUSDT,0.2126671979904987,PROFIT_LOCK,2025-08,632.591328522243,354.4453299841763
NEARUSDT,0.1382039052860941,PROFIT_LOCK,2025-08,863.069374571046,230.33984214351682
APTUSDT,-0.27152306799897474,TIME_EXIT,2025-08,1012.4865013184328,149.68864981538587
XRPUSDT,0.21262216527682018,PROFIT_LOCK,2025-08,782.1741917352616,354.37027546145146
ATOMUSDT,-2.855609233421079,STOP_LOSS,2025-08,1009.6096497132194,230.29106721137885
