sym,net,reason,month,cap_after,pos_notional
RENDERUSDT,-0.6245786076910562,TIME_EXIT,2026-02,1032.6830205146027,413.3891819180244
RENDERUSDT,0.24784392492347943,PROFIT_LOCK,2026-03,1032.765635156244,413.0732082058411
RENDERUSDT,-5.122517550374953,STOP_LOSS,2026-03,1027.477875104244,413.10625406249756
RENDERUSDT,1.1469108810404696,TIME_EXIT,2026-03,781.8328465116796,410.99115004169767
ATOMUSDT,-1.643699550290432,STALL_KILL,2026-03,1026.718078402401,246.5289314410119
ATOMUSDT,3.49134667491618,TIME_EXIT,2026-03,1030.0451501847729,410.6872313609604
NEARUSDT,1.3879051031447054,TIME_EXIT,2026-03,1031.268248063888,412.01806007390917
ATOMUSDT,-0.5681833187054233,TIME_EXIT,2026-03,1030.5350618254924,412.50729922555524
ATOMUSDT,1.088675424034048,TIME_EXIT,2026-03,1031.4588516396343,412.214024730197
NEARUSDT,-0.022946311786412155,TIME_EXIT,2026-03,1031.2708719115856,412.58354065585377
ATOMUSDT,0.7808651577814987,TIME_EXIT,2026-03,1031.8867337298611,412.50834876463426
NEARUSDT,-2.2641846064660953,TIME_EXIT,2026-03,1029.4574472459983,412.75469349194447
ATOMUSDT,-3.4852840171664683,STALL_KILL,2026-03,1025.8074500372725,411.78297889839934
ATOMUSDT,0.36266531169529415,TIME_EXIT,2026-03,1026.0059861569619,410.32298001490904
ATOMUSDT,6.276165971725712,TIME_EXIT,2026-03,1032.1179911709025,410.40239446278474
RENDERUSDT,12.220277015463537,TAKE_PROFIT,2026-04,1044.1731293077787,412.84719646836106
ATOMUSDT,0.3723315375095744,TIME_EXIT,2026-04,1044.3783931445992,417.66925172311153
ATOMUSDT,0.8755203059753304,TIME_EXIT,2026-04,1045.0868129076714,417.7513572578397
ATOMUSDT,0.6163850523405762,TIME_EXIT,2026-04,794.681732948315,418.0347251630686
RENDERUSDT,-1.8090558392750673,STALL_KILL,2026-04,1043.626626650855,250.75394954181502
ATOMUSDT,4.969505268249677,TIME_EXIT,2026-04,1048.4291516588405,417.45065066034203
ATOMUSDT,5.636756808520682,TIME_EXIT,2026-04,1053.8981598030957,419.3716606635362
ATOMUSDT,-3.1156137410537674,STALL_KILL,2026-04,1050.6139223564735,421.5592639212383
NEARUSDT,-0.9485207202601349,TIME_EXIT,2026-04,1049.4973034086363,420.24556894258944
ATOMUSDT,-3.3149305574632293,STALL_KILL,2026-04,1046.0144532826275,419.79892136345455
RENDERUSDT,2.0607180759210766,TIME_EXIT,2026-04,1047.9078090460234,418.405781313051
NEARUSDT,-0.018116433643704494,TIME_EXIT,2026-04,1047.7220273629325,419.1631236184094
ATOMUSDT,-3.2304930925421935,STALL_KILL,2026-05,1044.3238987460122,419.088810945173
ATOMUSDT,-3.6657659360728077,STALL_KILL,2026-05,1040.49104098614,417.7295594984049
RENDERUSDT,-0.9658294796334805,TIME_EXIT,2026-05,1039.3587329399488,416.19641639445604
ATOMUSDT,-2.8834192135167327,TIME_EXIT,2026-05,1036.3090163291618,415.74349317597955
NEARUSDT,-5.1400927209926595,STOP_LOSS,2026-05,782.2558148875459,414.5236065316647
RENDERUSDT,-3.0832332177602484,STOP_LOSS,2026-05,1027.8204218117394,248.64784014195376
ATOMUSDT,-2.56723430457577,STALL_KILL,2026-06,1025.0887362396738,411.1281687246958
ATOMUSDT,12.137050637077762,TAKE_PROFIT,2026-06,1037.0617726789533,410.03549449586956
RENDERUSDT,9.322915908993732,TIME_EXIT,2026-06,1046.2187587043184,414.8247090715813
ATOMUSDT,5.1133540385525595,TIME_EXIT,2026-06,1051.1647177414784,418.48750348172734
RENDERUSDT,-0.07577011795923581,TIME_EXIT,2026-06,1050.9207612686805,420.46588709659136
RENDERUSDT,4.320455565667713,TIME_EXIT,2026-06,1055.0730695125453,420.3683045074722
ATOMUSDT,-5.233162424782216,STOP_LOSS,2026-06,1049.671095396641,422.02922780501814
RENDERUSDT,0.18843680145849964,TIME_EXIT,2026-07,1049.6915848228361,419.86843815865643
ATOMUSDT,-0.6047394193467448,TIME_EXIT,2026-07,1048.9188947499176,419.87663392913447
RENDERUSDT,2.0548784863561966,TIME_EXIT,2026-07,1050.8059462131139,419.5675578999671
NEARUSDT,-5.211997493217037,STOP_LOSS,2026-07,1045.4258197685026,420.32237848524557
RENDERUSDT,0.2509021967443982,PROFIT_LOCK,2026-07,1045.509453834084,418.1703279074011
ATOMUSDT,1.2469453303275406,TIME_EXIT,2026-07,795.6334191941373,418.2037815336337
RENDERUSDT,1.0713968281246162,TIME_EXIT,2026-07,1047.5601723373968,250.85535631513477
RENDERUSDT,-3.0621160317393064,STALL_KILL,2026-07,1044.3304466780835,419.02406893495873
NEARUSDT,-3.13515674268153,STALL_KILL,2026-07,1041.0281970639335,417.73217867123344
RENDERUSDT,-3.011633346293576,STALL_KILL,2026-07,787.9699456587814,416.4112788255734
NEARUSDT,-0.19980413477694403,TIME_EXIT,2026-07,1037.5502830147364,249.78014149073198
RENDERUSDT,-3.0541229110512136,STALL_KILL,2026-07,1034.3301520584027,415.0201132058946
RENDERUSDT,-0.6393541980924712,TIME_EXIT,2026-08,1033.5253050359809,413.7320608233611
NEARUSDT,-0.9643738587333154,STALL_KILL,2026-08,618.8862531430137,247.97992758911312
RENDERUSDT,-2.2105045433108415,STALL_KILL,2026-08,1030.0858706140953,413.41012201439236
RENDERUSDT,6.971880484953231,TIME_EXIT,2026-08,1036.8929373597502,412.0343482456381
RENDERUSDT,-3.177937132934782,STALL_KILL,2026-08,635.368984956875,414.7571749439001
NEARUSDT,2.7972359119513643,TIME_EXIT,2026-08,886.9541646871754,248.78794381834905
ATOMUSDT,0.5065274378868231,TIME_EXIT,2026-08,1036.6936523450609,149.2329602199985
ATOMUSDT,-3.091439980422801,STALL_KILL,2026-08,1033.4363413802628,414.67746093802435
ATOMUSDT,0.4639665491101822,TIME_EXIT,2026-08,1033.734958114752,413.37453655210516
RENDERUSDT,-3.9720369219516316,STOP_LOSS,2026-08,616.0043282612371,248.03023091022115
ATOMUSDT,5.931792715481724,TIME_EXIT,2026-08,788.929812225603,413.49398324590084
NEARUSDT,-1.2133087539799539,STALL_KILL,2026-08,1034.1182347761178,246.40173130449486
ATOMUSDT,4.212872042104689,TIME_EXIT,2026-08,1038.1656479006583,413.64729391044716
RENDERUSDT,0.2491597554960968,PROFIT_LOCK,2026-08,789.0557509326402,415.26625916026336
NEARUSDT,-1.217633849506212,STALL_KILL,2026-08,1036.9314299778264,249.0933128946924
