sym,month,net,pnl_pct,reason,entry_px,exit_px,notional,held_bars,cap_after
AVAXUSDT,2026-01,27.835769454130173,0.8000000000000007,TRAILING_LOCK,13.842768152618408,13.953510297839355,3866.0790908514427,34,7926.879673559843
TRXUSDT,2026-01,238.2335664394839,6.499999999999995,TAKE_PROFIT,0.29245848248004913,0.3114682838412523,3710.80321556829,2897,11877.400776853843
JASMYUSDT,2026-01,-90.17797765818537,-2.200000000000002,STOP_LOSS,0.007971593685820698,0.007796218624732642,3955.17445869233,3,3875.290791951098
RENDERUSDT,2026-01,-90.1659659515611,-2.200000000000002,STOP_LOSS,2.1404281049251557,2.0933386866168022,3954.6476294544323,3,7741.35431450575
GALAUSDT,2026-01,-90.15395584489633,-2.200000000000002,STOP_LOSS,0.007371473773755133,0.00720930135073252,3954.1208703901884,3,11606.902877399198
ROSEUSDT,2026-01,248.10628169549645,6.499999999999995,TAKE_PROFIT,0.01674334787540138,0.017831665487302466,3864.583827032664,18,7988.364461457491
ORDIUSDT,2026-01,-43.645738986678005,-1.049227035236877,STALL_EXIT,4.457891178703308,4.411117779254913,3865.098658173933,102,11811.363420108017
ROSEUSDT,2026-01,16.519372879362876,0.49999999999998934,TRAILING_LOCK,0.018213641427084804,0.018304709634220227,3933.18401889597,1,11827.88279298738
ROSEUSDT,2026-01,-89.80201731747748,-2.200000000000002,STOP_LOSS,0.017173434821516276,0.016795619255442918,3938.684970064798,3,11738.080775669903
ROSEUSDT,2026-01,-89.12020448119594,-2.199999999999991,STOP_LOSS,0.017493497532606126,0.017108640586888792,3908.780898298078,2,11648.960571188707
ROSEUSDT,2026-01,-88.44356824069322,-2.200000000000002,STOP_LOSS,0.0202240442968905,0.019779115322358907,3879.1038702058395,10,11560.517002948014
ROSEUSDT,2026-01,-87.77206929318261,-2.200000000000002,STOP_LOSS,0.01853370600119233,0.0181259644691661,3849.652161981689,1,11472.74493365483
ATOMUSDT,2026-01,27.50705325293102,0.8000000000000007,TRAILING_LOCK,2.312462436246872,2.330962135736847,3820.4240629070587,178,7678.808838412913
ETHUSDT,2026-01,-35.06175740037546,-0.8378674322853885,STALL_EXIT,2955.9909823242187,2931.223696582031,3819.9151824218798,130,7634.583500529824
ENSUSDT,2026-01,-87.0366815505997,-2.200000000000013,STOP_LOSS,8.821763694763183,8.627684893478392,3817.3983136227807,30,3731.88859139763
SOLUSDT,2026-01,-86.96222269978061,-2.200000000000002,STOP_LOSS,123.04460064239501,120.33761942826231,3814.1325745517734,39,7460.584596279444
ROSEUSDT,2026-01,241.3571187601754,6.499999999999995,TAKE_PROFIT,0.018583716847747563,0.019791658442851155,3759.4566785074044,10,7701.941715039619
TRXUSDT,2026-01,27.56934071235377,0.8000000000000007,TRAILING_LOCK,0.29585916042923927,0.2982260337126732,3829.0750989379867,671,11560.117784729535
ROSEUSDT,2026-01,247.13913407261884,6.499999999999995,TAKE_PROFIT,0.02045408971980214,0.02178360555158928,3849.519222314935,15,11807.256918802153
ROSEUSDT,2026-01,-89.64541743031356,-2.200000000000002,STOP_LOSS,0.02143428666293621,0.020962732356351613,3931.8165539611173,9,11717.61150137184
ROSEUSDT,2026-01,250.50612924322778,6.499999999999995,TAKE_PROFIT,0.018793757186830042,0.020015351403973994,3901.964629956823,56,11968.117630615068
ROSEUSDT,2026-01,-90.86673629868208,-2.200000000000002,STOP_LOSS,0.019153830065578224,0.0187324458041355,3985.383170994818,9,11877.250894316387
ROSEUSDT,2026-01,253.9189959692324,6.499999999999995,TAKE_PROFIT,0.01849369769655168,0.01969578804682754,3955.124547807357,70,8174.990325977941
ICPUSDT,2026-01,-90.16482813496114,-2.200000000000002,STOP_LOSS,2.8435685351371767,2.7810100273641587,3954.5977252175894,28,8000.236579974125
ORDIUSDT,2026-01,-92.09268431989695,-2.200000000000002,STOP_LOSS,3.331666289663315,3.258369631290722,4039.152821048112,1,11948.912377830758
ROSEUSDT,2026-02,-90.72092233744215,-2.200000000000002,STOP_LOSS,0.0173334661770612,0.016952129921165855,3978.9878218176427,1,11858.191455493317
