sym,month,entry_i,exit_i,entry_px,exit_px,pnl_pct,gross,net,entry_fee,exit_fee,reason,post_mfe,cap_after,entry_time,exit_time
TIAUSDT,2025-04,6109,6229,2.5115022000000002,2.6747498430000003,6.499999999999995,50.91472181017231,50.28807908020096,0.31332136498567564,0.31332136498567564,TAKE_PROFIT,1.280499448934813,2498.111243030792,2025-04-22 05:05,2025-04-22 15:05
CRVUSDT,2025-04,6500,6519,0.66883374,0.6541193977199999,-2.200000000000002,-17.586703150936795,-18.226219629152677,0.3197582391079414,0.3197582391079414,STOP_LOSS,2.091453384150531,1936.1809448811146,2025-04-23 13:40,2025-04-23 15:15
ENAUSDT,2025-04,6569,6667,0.33166632,0.32853428,-0.9443346553849707,-5.850888849111192,-6.346551171000757,0.2478311609447827,0.2478311609447827,STALL_EXIT,1.6027916478000326,1929.834393710114,2025-04-23 19:25,2025-04-24 03:35
ENSUSDT,2025-04,6508,6722,16.673334,16.4967,-1.0593802055425705,-5.7575903484347215,-6.19237969551231,0.21739467353879438,0.21739467353879438,STALL_EXIT,1.1717495014154387,2467.3460925351264,2025-04-23 14:20,2025-04-24 08:10
GALAUSDT,2025-04,6954,7175,0.017313461999999998,0.017176564000000002,-0.7907026335922662,-6.242998570723566,-6.874639170412559,0.3158202998444962,0.3158202998444962,STALL_EXIT,6.7151730695382215,2460.471453364714,2025-04-25 03:30,2025-04-25 21:55
BONKUSDT,2025-04,7340,7361,1.8233646e-05,1.8379515168e-05,0.8000000000000007,6.2988069206136545,5.668926228552288,0.3149403460306834,0.3149403460306834,TRAILING_LOCK,4.572943433586,2466.140379593266,2025-04-26 11:40,2025-04-26 13:25
ENAUSDT,2025-04,7505,7546,0.3570714,0.3492158292,-2.200000000000002,-17.36162827233657,-17.99296020951245,0.31566596858793805,0.31566596858793805,STOP_LOSS,1.4272465287206462,1911.401673440811,2025-04-27 01:25,2025-04-27 04:50
GALAUSDT,2025-04,7505,7546,0.017383476,0.017001039527999997,-2.200000000000013,-11.803684936770072,-12.23290984356171,0.21461245339581866,0.21461245339581866,STOP_LOSS,1.2291040889344065,2435.914509540192,2025-04-27 01:25,2025-04-27 04:50
ENAUSDT,2025-04,7901,7943,0.34896978,0.35441236264,1.5596143138812746,8.26525750286752,7.841293325093411,0.21198208888705405,0.21198208888705405,TRAILING_LOCK,-2.2889615304532263,1663.9513627552028,2025-04-28 10:25,2025-04-28 13:55
ORDIUSDT,2025-04,8504,8505,7.991598,7.815782843999999,-2.200000000000002,-11.714217593796663,-12.140189142661994,0.21298577443266595,0.21298577443266595,STOP_LOSS,1.4613655251141275,1651.8111736125406,2025-04-30 12:40,2025-04-30 12:45
POLUSDT,2025-04,7778,8516,0.23464692,0.23315336,-0.6365137884614014,-4.961578153073713,-5.585172267516002,0.31179705722114454,0.31179705722114454,STALL_EXIT,0.7491378207030744,1897.2394340688718,2025-04-28 00:10,2025-04-30 13:40
ENAUSDT,2025-04,8506,8519,0.31016202,0.30333845556,-2.199999999999991,-11.62875066223226,-12.051614322677072,0.2114318302224052,0.2114318302224052,STOP_LOSS,4.503729807280491,2413.97882713243,2025-04-30 12:50,2025-04-30 13:55
TRXUSDT,2025-04,5262,8639,0.24174834,0.2464,1.924174536213985,21.828888573245063,20.921324808631663,0.4537818823067,0.4537818823067,MONTH_END,0.0,3569.808639590118,2025-04-19 06:30,2025-04-30 23:55
ENAUSDT,2025-05,168,228,0.32826563999999997,0.32423514,-1.22781659390242,-14.025824911183951,-14.939695922919023,0.4569355058675352,0.4569355058675352,STALL_EXIT,1.469569276174087,3554.8689436671993,2025-05-01 14:00,2025-05-01 19:00
GALAUSDT,2025-05,776,870,0.015703139999999997,0.015828765119999998,0.8000000000000007,9.10046449578805,8.190418046209246,0.45502322478940155,0.45502322478940155,TRAILING_LOCK,-0.4344313626406122,2789.3561294534748,2025-05-03 16:40,2025-05-04 00:30
TIAUSDT,2025-05,782,1029,2.4074814,2.3925213999999997,-0.6213962857615551,-4.805840811755632,-5.424555911523673,0.30935754988402003,0.30935754988402003,STALL_EXIT,1.4410989176523297,3557.6348058018852,2025-05-03 17:10,2025-05-04 13:45
RENDERUSDT,2025-05,1810,1925,4.125825,4.0781842,-1.1546975453394115,-13.145574967915213,-14.056329478200496,0.4553772551426413,0.4553772551426413,STALL_EXIT,2.3004306671581873,3543.5784763236848,2025-05-07 06:50,2025-05-07 16:25
TRXUSDT,2025-05,2301,2362,0.25685136,0.25424914000000004,-1.013122920587195,-11.488257840841527,-12.39541393078039,0.45357804496943166,0.45357804496943166,STALL_EXIT,2.61588298784412,3531.1830623929045,2025-05-08 23:45,2025-05-09 04:50
TIAUSDT,2025-05,2480,2568,2.8635726,3.0497048189999996,6.499999999999995,73.44860769777227,72.5446248337997,0.4519914319862918,0.4519914319862918,TAKE_PROFIT,3.6493755168244197,3603.727687226705,2025-05-09 14:40,2025-05-09 22:00
HBARUSDT,2025-05,2886,2914,0.21329265,0.21435911324999998,0.49999999999998934,5.765964299562634,4.843410011632597,0.4612771439650183,0.4612771439650183,TRAILING_LOCK,0.36428903728916456,2290.9850880052327,2025-05-11 00:30,2025-05-11 02:50
INJUSDT,2025-05,2886,2953,13.022604,12.967406,-0.42386300005743394,-2.2593408953650433,-2.685769414968579,0.21321425980176775,0.21321425980176775,STALL_EXIT,1.099633959174248,2088.1397081015457,2025-05-11 00:30,2025-05-11 06:05
DOGEUSDT,2025-05,2915,2961,0.23634726,0.23984383288,1.4794217965547807,10.845866479286107,10.259374296756766,0.29324609126466983,0.29324609126466983,TRAILING_LOCK,-2.05710224889064,2831.8075566512416,2025-05-11 02:55,2025-05-11 06:45
RENDERUSDT,2025-05,2886,2964,5.2850567999999996,5.2069584,-1.4777211098279786,-11.585681298296572,-12.212900127140143,0.31360941442178486,0.31360941442178486,STALL_EXIT,0.4617206083305648,2697.390912497337,2025-05-11 00:30,2025-05-11 07:00
ENAUSDT,2025-05,2962,2972,0.39697938,0.38824583364,-2.200000000000002,-19.935925198824766,-20.660867933327484,0.3624713672513589,0.3624713672513589,STOP_LOSS,6.581955077384053,2719.7605760237107,2025-05-11 06:50,2025-05-11 07:40
FETUSDT,2025-05,2966,2972,0.8571713999999999,0.8614572569999999,0.49999999999998934,4.315825459995688,3.62529338639637,0.34526603679965917,0.34526603679965917,TRAILING_LOCK,1.2238265931747945,3586.8962274460546,2025-05-11 07:10,2025-05-11 07:40
DOGEUSDT,2025-05,2973,3071,0.227825556,0.22688461399999998,-0.4130098556634376,-4.740555178167135,-5.658800612393325,0.45912271711309505,0.45912271711309505,STALL_EXIT,2.8716737927411913,2800.5635823309467,2025-05-11 07:45,2025-05-11 15:55
DOGEUSDT,2025-05,3074,3180,0.22344467999999998,0.23796858419999997,6.499999999999995,58.251722512483674,57.534778235406954,0.35847213853836124,0.35847213853836124,TAKE_PROFIT,2.8623172352344595,2858.0983605663537,2025-05-11 16:10,2025-05-12 01:00
ENAUSDT,2025-05,3048,3253,0.40038006,0.4264047639,6.499999999999995,50.72351048848104,50.099221128622816,0.3121446799291141,0.3121446799291141,TAKE_PROFIT,3.0710810968029194,3688.8714261976907,2025-05-11 14:00,2025-05-12 07:05
GALAUSDT,2025-05,3851,3900,0.022064412,0.022240927296,0.8000000000000007,6.420378609336037,5.778340748402437,0.3210189304668002,0.3210189304668002,TRAILING_LOCK,-0.004169322563123752,1967.8910275021733,2025-05-14 08:55,2025-05-14 13:00
ALGOUSDT,2025-05,3851,3900,0.24314862,0.24509380896000002,0.8000000000000007,4.365035645886511,3.928532081297863,0.21825178229432438,0.21825178229432438,TRAILING_LOCK,0.08412739631200597,2517.6672671015763,2025-05-14 08:55,2025-05-14 13:00
JUPUSDT,2025-05,3851,3901,0.55891176,0.56559305888,1.1954121129961637,14.111109075718833,13.166757990612226,0.47217554255330446,0.47217554255330446,TRAILING_LOCK,-0.5645505774634071,3711.7450570180026,2025-05-14 08:55,2025-05-14 13:05
ENAUSDT,2025-05,4076,4098,0.39147828,0.38286575784,-2.200000000000002,-26.13068520140681,-27.080891936003415,0.4751033672983043,0.4751033672983043,STOP_LOSS,-0.22612569086467696,3684.6641650819993,2025-05-15 03:40,2025-05-15 05:30
ORDIUSDT,2025-05,4112,4125,11.382276000000001,11.131865928,-2.200000000000013,-25.94003572217739,-26.883309748438386,0.471637013130496,0.471637013130496,STOP_LOSS,3.666358134743781,2855.828204056529,2025-05-15 06:40,2025-05-15 07:45
FETUSDT,2025-05,4123,4201,0.775155,0.7678464,-0.9428565899723296,-7.558240124973312,-8.199545723755426,0.32065279939105656,0.32065279939105656,STALL_EXIT,6.661957391478284,2735.3507383015976,2025-05-15 07:35,2025-05-15 14:05
ORDIUSDT,2025-05,4196,4256,10.832165999999999,10.617875999999999,-1.978274705169769,-18.078760634865425,-18.809852655103896,0.36554601011923576,0.36554601011923576,STALL_EXIT,0.30254638498322434,3630.7714569547024,2025-05-15 13:40,2025-05-15 18:40
ORDIUSDT,2025-05,4256,4275,10.542107999999999,10.310181623999998,-2.200000000000002,-25.560631056961167,-26.49010854994157,0.4647387464902019,0.4647387464902019,STOP_LOSS,1.9380684384343434,2814.058232909241,2025-05-15 18:40,2025-05-15 20:15
APTUSDT,2025-05,4258,4275,5.3500698,5.3928703584,0.8000000000000007,6.319257221075693,5.6873314989681205,0.31596286105378657,0.31596286105378657,TRAILING_LOCK,-0.016139056609133978,3609.968679903729,2025-05-15 18:50,2025-05-15 20:15
RENDERUSDT,2025-05,4284,4310,4.7349467999999995,4.772826374399999,0.8000000000000007,9.241519820553496,8.31736783849814,0.4620759910276774,0.4620759910276774,TRAILING_LOCK,3.1254777336993187,3618.2860477422273,2025-05-15 21:00,2025-05-15 23:10
DOGEUSDT,2025-05,4312,4437,0.214712934,0.22866927470999998,6.499999999999995,34.787285655674495,34.35913444760466,0.21407560403492018,0.21407560403492018,TAKE_PROFIT,0.6387938615069831,1706.8247909704182,2025-05-15 23:20,2025-05-16 09:45
ENSUSDT,2025-05,4312,4443,22.174434,23.61577221,6.499999999999995,75.26034979303822,74.33406856481619,0.46314061411100516,0.46314061411100516,TAKE_PROFIT,0.1872807275015665,2939.4735354268582,2025-05-15 23:20,2025-05-16 10:15
ORDIUSDT,2025-05,4312,4515,9.911982,9.8140368,-0.9881494942182045,-7.778622294033426,-8.40837496522718,0.3148763355968773,0.3148763355968773,STALL_EXIT,0.8351629576119031,2777.563091840292,2025-05-15 23:20,2025-05-16 16:15
TRXUSDT,2025-05,4511,4615,0.27245447999999994,0.26974603999999996,-0.9940889942422593,-9.350714529389522,-10.103219754458797,0.3762526125346379,0.3762526125346379,STALL_EXIT,0.42779497337570166,2819.2919385703135,2025-05-16 15:55,2025-05-17 00:35
RENDERUSDT,2025-05,4612,4770,4.5279054,4.5656651352,0.8339338361618598,7.41217230195188,6.701116150440766,0.3555280757555574,0.3555280757555574,TRAILING_LOCK,0.31397100697295016,2812.634482474766,2025-05-17 00:20,2025-05-17 13:30
POLUSDT,2025-05,4630,5064,0.22744547999999998,0.24222943619999995,6.499999999999995,58.64127232226244,57.91953358598843,0.36086936813700016,0.36086936813700016,TAKE_PROFIT,1.061210330307509,3773.088305771392,2025-05-17 01:50,2025-05-18 14:00
DOGEUSDT,2025-05,5113,5132,0.22847568599999998,0.22344922090799998,-2.200000000000002,-18.059128332054705,-18.715823907765788,0.3283477878555402,0.3283477878555402,STOP_LOSS,3.240458419401356,1988.1918661841123,2025-05-18 18:05,2025-05-18 19:40
XLMUSDT,2025-05,5113,5134,0.28775754,0.29005960032,0.8000000000000007,9.659106062774853,8.693195456497378,0.4829553031387382,0.4829553031387382,TRAILING_LOCK,0.9102955658378727,3204.7562747905936,2025-05-18 18:05,2025-05-18 19:50
TIAUSDT,2025-05,5113,5134,2.6315261999999997,2.5736326235999996,-2.200000000000002,-12.277895697370731,-12.724364631820574,0.22323446722492182,0.22323446722492182,STOP_LOSS,5.026645031373635,3750.3413126883024,2025-05-18 18:05,2025-05-18 19:50
ENAUSDT,2025-05,5785,5824,0.36987396,0.3939157674,6.499999999999995,78.00709930391672,77.04701192786852,0.48004368802410274,0.48004368802410274,TAKE_PROFIT,2.103046713432979,3827.3883246161704,2025-05-21 02:05,2025-05-21 05:20
ENAUSDT,2025-05,6403,6475,0.42038406,0.41801638,-0.5632183104183341,-6.898096593616532,-7.877908004718271,0.4899057055508698,0.4899057055508698,STALL_EXIT,0.4266866288828169,3819.510416611452,2025-05-23 05:35,2025-05-23 11:35
CRVUSDT,2025-05,6528,6584,0.8190637799999999,0.82817123464,1.1119347311390193,13.590548122168093,12.612753455515561,0.48889733332626584,0.48889733332626584,TRAILING_LOCK,-1.8198210719732721,3832.1231700669673,2025-05-23 16:00,2025-05-23 20:40
ORDIUSDT,2025-05,7044,7094,9.9479892,9.7291334376,-2.200000000000002,-26.978147117271508,-27.95917064880865,0.4905117657685718,0.4905117657685718,STOP_LOSS,1.0984180974124096,3804.1639994181587,2025-05-25 11:00,2025-05-25 15:10
TIAUSDT,2025-05,7097,7211,2.4404879999999998,2.5991197199999996,6.499999999999995,79.12661118789762,78.15274520404657,0.48693299192552436,0.48693299192552436,TAKE_PROFIT,0.11081751940231098,3882.3167446222055,2025-05-25 15:25,2025-05-26 00:55
RENDERUSDT,2025-05,7778,7955,4.419883799999999,4.3751248,-1.0126736816021942,-12.58086397095177,-13.574737057575055,0.4969365433116424,0.4969365433116424,STALL_EXIT,1.0485460894738414,3023.771050387124,2025-05-28 00:10,2025-05-28 14:55
INJUSDT,2025-05,7942,7958,15.003,14.672934,-2.200000000000002,-18.58192828659053,-19.257634769739273,0.33785324157437285,0.33785324157437285,STOP_LOSS,1.615668686303642,3849.484372794891,2025-05-28 13:50,2025-05-28 15:10
FILUSDT,2025-05,8644,8658,2.4734946,2.4932825568,0.8000000000000007,6.699920997122108,6.029928897409901,0.3349960498561035,0.3349960498561035,TRAILING_LOCK,0.18920612054715175,2053.572727944388,2025-05-31 00:20,2025-05-31 01:30
TIAUSDT,2025-05,8644,8658,2.0824163999999996,2.0928284819999994,0.49999999999998934,2.8469304300970464,2.3914215612815086,0.22775443440776877,0.22775443440776877,TRAILING_LOCK,2.15839560616227,2625.577989959499,2025-05-31 00:20,2025-05-31 01:30
NEARUSDT,2025-05,8644,8679,2.3864772,2.3339747016,-2.200000000000002,-27.10036998447603,-28.08583798391152,0.49273399971774606,0.49273399971774606,STOP_LOSS,3.3858678222101575,3829.8198852696705,2025-05-31 00:20,2025-05-31 03:15
FETUSDT,2025-06,1283,1317,0.7791558,0.7896501304,1.3468847180499788,11.222404256666543,10.5558347065768,0.33328477504487186,0.33328477504487186,TRAILING_LOCK,-1.475353444708297,2614.3431397446384,2025-06-05 10:55,2025-06-05 13:45
GALAUSDT,2025-06,1348,1383,0.015893178,0.015543528084,-2.200000000000002,-18.40497570380227,-19.0742475475769,0.3346359218873137,0.3346359218873137,STOP_LOSS,1.3926819884787178,2026.2673988901468,2025-06-05 16:20,2025-06-05 19:15
ORDIUSDT,2025-06,1348,1383,8.5407078,8.3528122284,-2.200000000000002,-12.513027641695471,-12.968046828666216,0.22750959348537178,0.22750959348537178,STOP_LOSS,-0.0336680428471517,2582.300845368395,2025-06-05 16:20,2025-06-05 19:15
TIAUSDT,2025-06,1670,1773,1.9023804,2.026035126,6.499999999999995,53.71185758366264,53.05078856724834,0.3305345082071546,0.3305345082071546,TAKE_PROFIT,0.6399135845979467,2635.3516339356433,2025-06-06 19:10,2025-06-07 03:45
TRXUSDT,2025-06,936,1999,0.26845368000000003,0.28590316920000003,6.499999999999995,79.66025361360916,78.67981972298013,0.49021694531451787,0.49021694531451787,TAKE_PROFIT,0.6284752998813494,3940.0640338902326,2025-06-04 06:00,2025-06-07 22:35
ENAUSDT,2025-06,2757,2817,0.3575715,0.35612876000000004,-0.40348293977566785,-5.08719558175487,-6.0958519744307695,0.5043281963379498,0.5043281963379498,STALL_EXIT,3.3053325993665768,3933.9681819158022,2025-06-10 13:45,2025-06-10 18:45
TIAUSDT,2025-06,3142,3202,2.1074214000000002,2.0835832,-1.131154879607854,-14.239767376627505,-15.246863231197949,0.5035479272852227,0.5035479272852227,STALL_EXIT,0.11599248832490944,3062.508629500038,2025-06-11 21:50,2025-06-12 02:50
